departures_scheduled,departures_performed,payload,seats,passengers,freight,mail,distance,ramp_to_ramp,air_time,unique_carrier,airline_id,unique_carrier_name,region,carrier,carrier_name,carrier_group,carrier_group_new,origin_airport_id,origin_city_market_id,origin,origin_city_name,origin_country,origin_country_name,dest_airport_id,dest_city_market_id,dest,dest_city_name,dest_country,dest_country_name,aircraft_group,aircraft_type,aircraft_config,year,month,distance_group,class,data_source,row_num
0,28,2355492,6040,5283,537306,0,4182,0,0,BA,19540,British Airways Plc,I,BA,British Airways Plc,0,0,12972,30730,LHR,"London, United Kingdom",GB,United Kingdom,10693,30693,BNA,"Nashville, TN",US,United States,6,887,1,2019,10,9,F,IF,1
0,1,264000,0,0,109120,0,1641,0,0,VIQ,20428,Volga-Dnepr Airlines,I,VIQ,Volga-Dnepr Airlines,0,0,16178,36178,YQX,"Gander, Canada",CA,Canada,11057,31057,CLT,"Charlotte, NC",US,United States,8,880,2,2019,10,4,P,IF,1
61,57,798000,3990,3318,0,0,113,2761,1539,G7,20500,GoJet Airlines LLC d/b/a United Express,D,G7,GoJet Airlines LLC d/b/a United Express,2,2,11433,31295,DTW,"Detroit, MI",US,United States,10469,30469,AZO,"Kalamazoo, MI",US,United States,6,631,1,2019,10,1,F,DU,1
0,1,58300,302,219,2332,0,5728,0,0,SU,19573,Aeroflot Russian Airlines,I,SU,Aeroflot Russian Airlines,0,0,15058,31345,SVO,"Moscow, Russia",RU,Russia,13303,32467,MIA,"Miami, FL",US,United States,6,696,1,2019,10,12,F,IF,1
0,1,2200,14,1,0,0,5673,0,0,2RQ,21760,Luxaviation S A,I,2RQ,Luxaviation S A,0,0,12892,32575,LAX,"Los Angeles, CA",US,United States,11712,31712,FMO,"Greven, Germany",DE,Germany,6,658,1,2019,10,12,L,IF,1
0,19,4301000,0,0,3407318,0,7458,0,0,QR,21262,Qatar Airways (Q.C.S.C),I,QR,Qatar Airways (Q.C.S.C),0,0,11369,31369,DOH,"Doha, Qatar",QA,Qatar,10397,30397,ATL,"Atlanta, GA",US,United States,6,683,2,2019,10,15,G,IF,1
0,18,716760,3012,2560,13193,0,3592,0,0,TP,19576,Tap-Portuguese Airlines,I,TP,Tap-Portuguese Airlines,0,0,12991,32991,LIS,"Lisbon, Portugal",PT,Portugal,12264,30852,IAD,"Washington, DC",US,United States,6,694,1,2019,10,8,F,IF,1
0,1,2300,9,2,0,0,793,198,186,KAT,20224,Katmai Air,D,KAT,Katmai Air,1,5,11392,30299,DQL,"Anchorage, AK",US,United States,11445,31445,DUT,"Unalaska, AK",US,United States,4,479,3,2019,10,2,L,DU,1
0,1,6151,14,2,0,0,3661,0,0,0Q,21147,Flying Service N.V.,I,0Q,Flying Service N.V.,0,0,10310,30310,ANR,"Antwerp, Belgium",BE,Belgium,15167,35167,TEB,"Teterboro, NJ",US,United States,7,770,1,2019,10,8,L,IF,1
0,20,99191,0,0,20445,0,362,0,0,PEQ,20380,SkyLink Express Inc.,I,PEQ,SkyLink Express Inc.,0,0,12478,31703,JFK,"New York, NY",US,United States,16078,36078,YHM,"Hamilton, Canada",CA,Canada,4,405,2,2019,10,1,P,IF,1
0,1,25368,99,82,0,0,1281,0,0,5D,20250,Aerolitoral,I,5D,Aerolitoral,0,0,13252,33252,MEX,"Mexico City, Mexico",MX,Mexico,13204,31454,MCO,"Orlando, FL",US,United States,6,678,1,2019,10,3,F,IF,1
0,1,5150,14,2,0,0,4645,0,0,24Q,21646,Blue Jet SP Z o o,I,24Q,Blue Jet SP Z o o,0,0,12391,31703,ISP,"Islip, NY",US,United States,15604,31345,VKO,"Moscow, Russia",RU,Russia,6,688,1,2019,10,10,L,IF,1
0,26,3248960,0,0,2976092,0,1307,0,0,M7,20446,Aerotransportes Mas De Crga,I,M7,Aerotransportes Mas De Crga,0,0,12892,32575,LAX,"Los Angeles, CA",US,United States,11874,31874,GDL,"Guadalajara, Mexico",MX,Mexico,6,626,2,2019,10,3,G,IF,1
0,24,2874960,9792,7976,225630,0,5473,0,0,KL,19551,Klm Royal Dutch Airlines,I,KL,Klm Royal Dutch Airlines,0,0,14771,32457,SFO,"San Francisco, CA",US,United States,10292,30292,AMS,"Amsterdam, Netherlands",NL,Netherlands,8,819,1,2019,10,11,F,IF,1
